index,Roast Level,Avg Agtron,price,rating,Country Region,Country,review_sentence,company,coffee
778a,Medium-Light,68,27.22,92,The Americas,El Salvador," Bergamot, cherry, magnolia, roasted cacao nib, almond in aroma and small cup",Old Soul Co.,El Salvador Loma La Gloria Natural
779a,Medium-Light,67,27.22,93,The Americas,El Salvador," Dried mango, honey, apple blossom, pink peppercorn, oak in aroma and cup",Old Soul Co.,El Salvador Loma La GLoria Natural
780a,Medium-Light,68,24.95,93,The Americas,El Salvador," Tangerine zest, magnolia, tamari, black cherry, roasted cacao nib in aroma and cup",Conscious Cup Coffee Roasters,El Salvador
781a,Medium-Light,68,25,95,The Americas,El Salvador," Strawberry guava, roasted cacao nib, lime zest, jasmine, almond in aroma and cup",Bird Rock Coffee Roasters,El Salvador Finca Kilimanjaro
782a,Medium-Light,66,11.9,89,The Americas,El Salvador," Almond butter, dried apricot, fresh-cut fir, hints of dark chocolate and clover in aroma and cup",Espresso Republic,Static El Salvador Finca Maria Luisa
783a,Medium-Light,65,17.9,94,The Americas,El Salvador," Notes of dark chocolate, plumeria, peach, cumin, pistachio in aroma and small cup",JBC Coffee Roasters,El Aquila Pacamara Espresso
784a,Medium-Light,67,17.9,92,The Americas,El Salvador," Candied orange zest, baker’s chocolate, tamarind, roasted walnut, cedar in aroma and cup",JBC Coffee Roasters,El Aquila Pacamara El Salvador
785a,Medium-Light,66,35,94,The Americas,El Salvador," Lavender, passionfruit, roasted cacao nib, almond brittle, allspice in aroma and cup",Bird Rock Coffee Roasters,El Salvador Finca Kilimanjaro Natural
786a,Medium-Light,69,19.5,92,The Americas,El Salvador," Violet candy, hazelnut butter, lemon verbena, molasses, cedar in aroma and cup",Old Soul Co.,El Salvador La Loma Gloria Washed
787a,Medium-Light,68,16.5,93,The Americas,El Salvador," Nougat, orange, clove, rye whisky, baker’s chocolate in aroma and cup",West Oak Coffee,Montaña de Abi Anny Ruth El Salvador
788a,Medium-Light,71,22,93,The Americas,El Salvador," Tangerine zest, oak, honeysuckle, cocoa powder, a hint of wine in aroma and cup",Water Avenue Coffee,Pinot Noir-Aged El Salvador
789a,Medium-Light,66,17.9,93,The Americas,El Salvador," Candied ginger, pomegranate, rhododendron, cashew butter, bergamot in aroma and cup",JBC Coffee Roasters,Cielo El Salvador
790a,Medium-Light,67,19.5,94,The Americas,El Salvador," Almond butter, plumeria, roasted cacao nib, myrrh, loquat in aroma and cup",PT's Coffee Roasting Co.,Pacamara Finca Los Planes El Salvador
791a,Medium-Light,68,16.75,91,The Americas,El Salvador," All three reviewers – Jen Apodaca (92), John DiRuocco (91) and Ken (91) – cited the dynamic, citrusy acidity, rounding chocolate, crisp floral hints and surprisingly full mouthfeel",PT's Coffee Roasting Co.,El Salvador Lagunita Finca Los Planes Honey
792a,Medium-Light,66,14.75,93,The Americas,El Salvador," Butterscotch, almond butter, orange zest, vanilla, honeydew melon in aroma and cup",Mojo Coffee Roasters,El Salvador Laguna Las Ranas
793a,Medium-Light,67,17.9,93,The Americas,El Salvador," Roasted cacao nib, lily, sandalwood, lychee, hazelnut in aroma and cup",JBC Coffee Roasters,El Aguila Pacamara El Salvador
794a,Medium-Light,67,20.99,91,The Americas,El Salvador," Roasted hazelnut, maple syrup, plum, fresh-cut fir, fine musk in aroma and cup",Bird Rock Coffee Roasters,El Salvador Finca Loma La Gloria
795a,Medium-Light,62,22,93,The Americas,El Salvador," Rhododendron, oak, dark chocolate, tamarind, black cherry in aroma and cup",Propeller Coffee,El Salvador Finca El Pozo Microlot Honey
796a,Medium-Light,70,15.75,94,The Americas,El Salvador," Honey, dark chocolate, roasted pine nut, horned melon, wisteria in aroma and small-cup",JBC Coffee Roasters,El Aguila Pacamara Espresso
797a,Medium-Light,68,18.75,94,The Americas,El Salvador," Candied blood orange, cocoa powder, wisteria and baked apple in aroma and cup",JBC Coffee Roasters,El Aguila SL-28 El Salvador
798a,Medium-Light,69,18.75,94,The Americas,El Salvador," Sandalwood, tangerine, vanilla and cocoa in aroma and cup",JBC Coffee Roasters,La Lagunita El Salvador
799a,Medium-Light,71,15.75,90,The Americas,El Salvador," Fir, sassafras, green peppercorn, lavender, sweet rosemary in aroma and cup",JBC Coffee Roasters,El Aguila Pacamara El Salvador
800a,Medium-Light,69,15.99,93,The Americas,El Salvador," Caramel apple, dark chocolate, honeysuckle, a hint of rye whisky in aroma and cup",Topeca Coffee Roasters,Manzano Natural El Salvador
801a,Medium-Light,63,14.36,91,The Americas,El Salvador," Roasted cacao nib, narcissus-like flowers, almond butter, fig in aroma and cup",Path Coffee Roasters,Loma Alta El Salvador
802a,Medium-Light,66,14.99,92,The Americas,El Salvador," Layered complexity – honey, honeysuckle-like flowers, white raisin, orange, a hint of thyme – in aroma and cup",Topeca Coffee Roasters,Manzano Honey Process El Salvador
803a,Medium-Light,69,18,93,The Americas,El Salvador," Roasted cacao nib, butterscotch, narcissus-like flowers, tangerine-like fruit in aroma and cup",Cafe Grumpy,El Salvador Malacara B
804a,Medium-Light,66,14.5,93,The Americas,El Salvador," Its juxtaposition of honeyish and cherry-like sweetness with savory notes that suggest dried mushroom and thyme will not please everyone, but will delight many",Klatch Coffee,El Salvador Las Mercedes Pacamara Honey
805a,Medium-Light,62,19,94,The Americas,El Salvador," Honey, peach, tangerine, night-blooming flowers, a hint of roasted cacao nib in aroma and cup",Temple Coffee and Tea,El Salvador Santa Elena Honey Pacamara
806a,Medium-Light,69,12.95,91,The Americas,El Salvador," Molasses, dark chocolate, pungent pine and cedar, hints of herb",Coda Coffee,El Salvador El Naranjo
807a,Medium-Light,70,14.95,92,The Americas,El Salvador," Flavor-saturated aroma, balanced structure",Mt. Whitney Coffee Roasters,El Salvador El Nazareno
808a,Medium-Light,67,16.95,94,The Americas,El Salvador," Ripe strawberry, orange, candied nut, vanilla-toned flowers in aroma and cup",Paradise Roasters,El Salvador Santa Marta Honey
809a,Medium-Light,67,14.99,92,The Americas,El Salvador," Honey, orange zest, lily-like flowers, apricot in aroma and cup",OQ Coffee Co.,El Salvador Malacara B Farm
810a,Medium-Light,68,15.72,90,The Americas,El Salvador," Caramel, fir, raisin, honeysuckle in a quiet aroma and slightly savory cup",Fratello Coffee Roasters,El Salvador Finca Malacara B
811a,Medium-Light,62,15,90,The Americas,El Salvador," Orange zest, apricot, lush honeysuckle, fir, a hint of cocoa nib in aroma and cup",PT's Coffee Roasting Co.,Flor Del Sol Signature Blend
812a,Medium-Light,66,16,93,The Americas,El Salvador," In the small cup fruit suggestions range from zesty tangerine to rounder plum and banana, with floral top notes and a pungent fresh-cut cedar",Water Avenue Coffee Company,El Salvador Las Delicias Pacamara SOE Blend
813a,Medium-Light,66,14,90,The Americas,El Salvador," Freshly cut aromatic wood, dark chocolate and a faint tart berry note in aroma and cup",Water Avenue Coffee Company,El Salvador El Manzano
814a,Medium-Light,65,17.5,92,The Americas,El Salvador," Roundly bright, complexly expressed acidity; lightly creamy mouthfeel",Temple Coffee and Tea,El Salvador Casas de Lamina
815a,Medium-Light,61,15.97,91,The Americas,El Salvador," Gently bright, wine-like acidity; plush mouthfeel",Vertigo Coffee,El Salvador Finca El Majahual
816a,Medium-Light,68,11.25,94,The Americas,El Salvador," Rich, wine-like acidity; syrupy mouthfeel",Lexington Coffee Roasters,El Salvador Santa Rita
817a,Medium-Light,63,14,94,The Americas,El Salvador, The acidity is giddily and sweetly bright; the mouthfeel lively and somewhere between silky and creamy in texture,Kuma Coffee,El Salvador Nombre de Dios
818a,Medium-Light,67,12.35,90,The Americas,El Salvador," Almondy nut, crisp baker’s chocolate, peach- and apricot-toned fruit in aroma and cup",Uncle Beanz,Organic El Salvador Las Lajas
819a,Medium-Light,67,13.95,93,The Americas,El Salvador," Quietly rich acidity; full, syrupy mouthfeel",JBC Coffee Roasters,El Salvador Amarillo Yellow Bourbon
820a,Medium-Light,67,13.95,92,The Americas,El Salvador," Rich, balanced acidity; lightly syrupy, almost effervescent mouthfeel",JBC Coffee Roasters,El Salvador Finca Los Alpes Tierra Fertil Pacamara
821a,Medium-Light,68,14.95,94,The Americas,El Salvador," Night flowers, molasses, lemon, crisp cocoa in aroma and cup",JBC Coffee Roasters,El Salvador Pacamara Finca Los Alpes The Bank
822a,Medium-Light,66,11.95,93,The Americas,El Salvador," Dominated by notes of stone fruit and honey, with clear hints of flowers and citrus",JBC Coffee Roasters,El Salvador Yellow Bourbon Finca Los Alpes El Amarillo
823a,Medium-Light,65,11.95,92,The Americas,El Salvador," Although the flavors simplify somewhat in the finish, a pronounced chocolate-toned sweetness lingers deeply",JBC Coffee Roasters,El Salvador Bourbon Finca Los Alpes La Punta
824a,Medium-Light,65,19,88,The Americas,El Salvador," The main divergence may have been owing to roast; Ken apparently tolerates lighter roasts more than Wendy does, who observes s “This super clean and bright coffee finished with a slight grainy note and thinness that could be addressed by more roasting experiments",Cartel Coffee Lab,El Salvador Finca Los Planes Lote La Lagunita
825a,Medium-Light,62,13.61,90,The Americas,El Salvador," Gently bright acidity, medium body and a silky mouthfeel",Coava Coffee Roasters,El Salvador Santa Sofia Peaberry
826a,Medium-Light,61,11.21,91,The Americas,El Salvador," The acidity is balanced, bright and sweet, the mouthfeel lightly syrupy",Barrington Coffee Roasting Co.,El Salvador Santa Rita Bourbon Natural
827a,Medium-Light,63,11.95,94,The Americas,El Salvador," Deeply complex, lasting notes of citrus, nut, caramel and baking spices",JBC Coffee Roasters,El Salvador Pacamara Finca Los Alpes Tierra Fertil
828a,Medium-Light,68,11.95,90,The Americas,El Salvador," In the cup bright-toned acidity and lightly syrupy mouthfeel, with a lemon note that enlivens continued complications of caramel, nut, and molasses that hints at dark chocolate",JBC Coffee Roasters,El Salvador Pacamara Finca Los Alpes Mundani
829a,Medium-Light,62,15.18,93,The Americas,El Salvador," Roundly layered notes of tartly ripe coffee fruit, citrus, cherry and dark chocolate in aroma and flavor",Social Coffee & Tea Company,El Salvador Finca Alaska
830a,Medium-Light,61,12.65,92,The Americas,El Salvador," Medium body, silky mouthfeel and intense, penetrating flavor",Te Aro Roasted,El Salvador Finca Alaska
831a,Medium,57,13.5,92,The Americas,El Salvador ; Peru," Dark chocolate, freesia-like flowers, crisp pear, vanilla bean, cedar in aroma and cup",Rhetoric Coffee,Hoyt’s Crossing
832a,Dark,35,14,93,Africa,Ethiopia," Musk, orange zest, baker’s chocolate, scorched mesquite, floral top notes in aroma carry into the cup, where the chocolate moves forward",Mellelo Coffee Roasters,Ethiopia Organic Dark
833a,Dark,39,10.31,92,Africa,Ethiopia," Pungent, complex aroma: cedar, roasted nut, toast, lemon, herby dark chocolate",Safari Cup,Black Mamba Ethiopian Harrar
834a,Light,73,21.99,95,Africa,Ethiopia," Bergamot, jasmine, Meyer lemon zest, cocoa nib, praline in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Demeka Becha
835a,Light,74,21.5,95,Africa,Ethiopia," Mulberry, cocoa nib, tangerine zest, thyme, agave syrup in aroma and cup",PT's Coffee Roasting Co.,Dafis Abafita Natural Ethiopia
836a,Light,74,18.17,95,Africa,Ethiopia," Boysenberry, cocoa nib, fine musk, honeysuckle, oak in aroma and cup",Kakalove Cafe,Berg Wu Championship Sidamo Washed G1 Lot 20-02
837a,Light,73,24.05,95,Africa,Ethiopia," Star jasmine, apricot, lemon verbena, maple syrup, marjoram in aroma and cup",94 Fresh Coffee,Ethiopia Guji Goro Muda Washed G1
838a,Light,79,59.85,95,Africa,Ethiopia," Meyer lemon zest, cocoa nib, dried hibiscus flowers, marjoram, red plum in aroma and cup",Paradise Roasters,Ethiopia Cup of Excellence Guji Natural
839a,Light,73,24.95,94,Africa,Ethiopia," Pomegranate, cocoa nib, butterscotch, hazelnut, passionflower in aroma in cup",Paradise Roasters,Ethiopia Guji Laayyoo Natural
840a,Light,71,22,94,Africa,Ethiopia," Honeysuckle, cocoa nib, pink grapefruit zest, apricot, marjoram in aroma and cup",Nostalgia Coffee Roasters,Ethiopia Grade 1 Chelchele
841a,Light,71,20.99,95,Africa,Ethiopia," Plum blossom, guava, cocoa nib, narcissus, lemon verbena in aroma and cup",Red Rooster Coffee Roaster,Wush Wush
842a,Light,71,19,94,Africa,Ethiopia," Honeydew melon, dark chocolate, hop flowers, lemon verbena, fresh-cut oak in aroma and cup",Cafe Virtuoso,Shantawene Ethiopia Daya Bensa Natural
843a,Light,71,22,92,Africa,Ethiopia," Marjoram, lemon verbena, cocoa nib, freesia, maple syrup in aroma and cup",Jaunt Coffee Roasters,Ethiopia Shantawene
844a,Light,71,20,93,Africa,Ethiopia," Strawberry, narcissus, lemon verbena, cocoa nib, cedar in aroma and cup",Amavida Coffee Roasters,Ethiopia Chelbessa Danche
845a,Light,78,18.99,94,Africa,Ethiopia," Wild strawberry, lilac, honey, pink peppercorn, dark chocolate in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Kayon Mountain (Natural)
846a,Light,75,18.49,94,Africa,Ethiopia," Apricot, narcissus, lime, almond brittle, lemon balm in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Kayon Mountain (Washed)
847a,Light,71,20,94,Africa,Ethiopia," Lychee, rose hips, sandalwood, dark chocolate, marjoram in aroma and cup",Wonderstate Coffee,Ethiopia Wegida Natural
848a,Light,76,14,94,Africa,Ethiopia," Passion fruit, pineapple, honey, hazelnut, a hint of fresh yogurt in aroma and cup",BLK & Bold,Limu Ethiopia Natural
849a,Light,82,15.99,94,Africa,Ethiopia," Strawberry, dark caramel, tangerine zest, white tea, sandalwood in aroma and cup",Merge Coffee Company,Ethiopia Gera Estate Natural
850a,Light,74,18,94,Africa,Ethiopia," Red grape, baking chocolate, marshmallow, macadamia nut, lime zest in aroma and cup",Portrait Coffee,Ethiopia Guji Natural
851a,Light,71,20.46,94,Africa,Ethiopia," Boysenberry, star jasmine, cocoa nib, almond nougat, a hint of wine barrel in aroma and cup",David's Nose Coffee,Ethiopia Haro Guta Natural
852a,Light,71,20,91,Africa,Ethiopia," Blackberry, grappa barrel, magnolia, molasses, Brazil nut in aroma and cup",modcup coffee,Seasonal Ethiopia Yirgacheffe Natural
853a,Light,71,33,96,Africa,Ethiopia," Lychee, passionfruit, dark chocolate, candied violet, sage in aroma and cup",Revel Coffee,Ethiopia Wush Wush
854a,Light,73,17.27,94,Africa,Ethiopia," Jasmine, dark chocolate, lemon verbena, pink grapefruit zest, candycap mushroom in aroma and cup",MJ Bear Coffee,Yirgacheffe Gedeb G1 Natural
855a,Light,71,12.59,94,Africa,Ethiopia," Star jasmine, cherry, maple syrup, cocoa nib, almond in aroma and cup",Santos Coffee,Ethiopia Yirgacheffe G1
856a,Light,72,17.99,94,Africa,Ethiopia," Honey, lemon blossom, cocoa, fresh pipe tobacco, a hint of roasted nut in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Banko Dhadhato Washed
857a,Light,71,18,91,Africa,Ethiopia," Baker’s chocolate, lemon verbena, toffee, allspice, hazelnut in aroma and cup",Steady State Roasting Company,Adanech Ethiopia Guji
858a,Light,71,14.71,95,Africa,Ethiopia," Honeysuckle, mango, sandalwood, maple syrup, almond brittle in aroma and cup",Kakalove Cafe,Ethiopia Yirgacheffe Botabaa Washed
859a,Light,72,13.05,94,Africa,Ethiopia," Lavender, baker’s chocolate, dried strawberry, sandalwood, lemon zest in aroma and small cup",Kakalove Cafe,Natural Sidamo Twakok G1
860a,Light,74,18.99,94,Africa,Ethiopia," Lemon verbena, raw honey, mango, star jasmine, roasted cacao nib in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Kayon Mountain
861a,Light,72,20.15,93,Africa,Ethiopia," Mulberry, musk, cocoa, freesia-like flowers, elderflower liqueur in aroma and cup",Small Eyes Cafe,Ethiopia Guji Natural Dasaya G1
862a,Light,72,18.48,94,Africa,Ethiopia," Honeysuckle, blackberry, cardamom, tangerine zest, sandalwood in aroma and cup",Coffee Please,Ethiopia Banko Gotiti Natural
863a,Light,71,20,93,Africa,Ethiopia," Mango, honey, lemongrass, oak, narcissus in aroma and cup",Tico Coffee Roasters,Ethiopia Gedeb Gotiti
864a,Light,72,24.29,94,Africa,Ethiopia," Black currant, honey, sandalwood, narcissus-like flowers, roasted cacao nib in aroma and cup",Roasters Note,Ethiopia Guji Gigessa
865a,Light,72,29.82,96,Africa,Ethiopia," Fine musk, dried jasmine, passionfruit, bergamot, dark chocolate in aroma and cup",Barrington Coffee Roasting,Dodora Double
866a,Light,74,14.53,93,Africa,Ethiopia," Dried apple, orange blossom, toffee, cedar, dark chocolate in aroma and cup",Kakalove Cafe,Ethiopia Guji Deri Korcha White Honey
867a,Light,72,15.83,93,Africa,Ethiopia," Cocoa, almond paste, lemon verbena, hints of lily and grappa-like spirits in aroma and cup",Kakalove Cafe,Ethiopia Natural Sidamo Papilio
868a,Light,74,17.15,94,Africa,Ethiopia," Lavender, mulberry, bay leaf, lemon zest, allspice in aroma and cup",Kakalove Cafe,Ethiopia Banko Gotiti Natural
869a,Light,79,16.99,94,Africa,Ethiopia," Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Banko Gotiti
870a,Light,71,119.07,93,Africa,Ethiopia," Rhododendron, fine musk, black cherry, sandalwood, roasted cacao nib in aroma and cup",Black Coffee in Black Jar,Ethiopia Agakiso
871a,Light,72,30.9,94,Africa,Ethiopia," Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup",Green Stone Coffee,Ethiopia Banko Gotiti Natural G1
872a,Light,80,19,93,Africa,Ethiopia," Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup",Noble Coffee Roasting,Ethiopia Bishan Fugu
873a,Light,77,16,93,Africa,Ethiopia," Orange marmalade, pipe tobacco, dried fig, dark chocolate, freesia-like flowers in aroma and cup",Red E Café,Sustainable Harvest Homacho Waeno Natural
874a,Light,79,17.49,93,Africa,Ethiopia," Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Kayon Mountain
875a,Light,71,14.91,93,Africa,Ethiopia," Ripe blueberry, sweet wood, grapefruit zest, dark chocolate, ginger flower in aroma and cup",Kakalove Cafe,Ethiopia Natural Yirgacheffe Adado
876a,Light,71,19.68,94,Africa,Ethiopia," Ripe mango, fine musk, fruit-toned chocolate, lemon blossom in aroma and cup",Coffee Dusk Roasters,Ethiopia Guji Zone Natural
877a,Light,75,111,95,Africa,Ethiopia," Honey, strawberry guava, lavender, roasted almond, a hint of light, floral-toned spirits in aroma and cup",Ho Soo Tsai,Gesha Village Lot 76 Nasha Block
878a,Light,71,25.01,93,Africa,Ethiopia," Mango chutney, baker’s chocolate, freesia, tamarind, cumin in aroma and cup",Roast House,Gigisa Ethiopia
879a,Light,72,17.33,93,Africa,Ethiopia," Honeysuckle, pineapple guava, orange zest, roasted cacao-nib, sandalwood",Conscious Cup Coffee Roasters,Ethiopia Yirgacheffe Natural Celinga Foge Grade 1
880a,Light,74,23.13,94,Africa,Ethiopia," Hibiscus, roasted cocoa nib, dried mulberry, frankincense, candied orange zest in aroma and cup",Turning Point Coffee,Ethiopia Yirgacheffe
881a,Light,79,34.3,92,Africa,Ethiopia," Brown sugar, white peach, lemon blossom, almond, fresh-cut cedar in aroma and cup",Wolong Coffee Studio,Yirgacheffe Mini-Me 2016
882a,Light,72,17.95,93,Africa,Ethiopia," Dried raspberry, lilac, dark chocolate, peppermint, oak in aroma and cup",Chocolate Fish Coffee Roasters,Misty Valley Ethiopia
883a,Light,72,16,94,Africa,Ethiopia," Honey, frankincense, wisteria, nectarine, pistachio in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Hambela Washed
884a,Light,77,277.29,94,Africa,Ethiopia," Raspberry, sandalwood, tangerine zest, honeysuckle, a hint of cinnamon in aroma and cup",Very Famous International,Ethiopia Yirgacheffe Chelelektu
885a,Light,74,17.95,94,Africa,Ethiopia," Dried mulberry, jasmine, sandalwood, roasted cacao nib, lime zest in aroma and cup",Chocolate Fish Coffee Roasters,Amaro Gayo Natural Ethiopia
886a,Light,83,13.99,91,Africa,Ethiopia," Ripe blueberry, blood orange zest, jasmine, cedar, roasted cacao nib in aroma and cup",Magnolia Coffee,Reserve Ethiopia Halo Bariti Coop
887a,Light,74,48.8,93,Africa,Ethiopia," Strawberry, roasted mint, musk, jasmine, dark chocolate in aroma and cup",ChacolaTAY,Ethiopia Sidama Deri Kochoha WP
888a,Light,77,12.99,91,Africa,Ethiopia," Honey, almond butter, green apple, lemon zest, marjoram in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Harfusa
889a,Light,79,21,93,Africa,Ethiopia," Toffee, dried fig, hops, rhododendron-like flowers, roasted cacao nib in aroma and cup",Intelligentsia Coffee,Benti Nenqa Ethiopia
890a,Light,73,16.99,94,Africa,Ethiopia," Wisteria, saffron, pink grapefruit, dark chocolate, almond in aroma and small cup",Red Rooster Coffee Roaster,Competition Blend
891a,Light,73,14.5,92,Africa,Ethiopia," Tartly juicy raspberry, sandalwood, roasted cacao nib, lavender in aroma and cup",Greater Goods Coffee Roasters,Fresh Perspective Ethiopian
892a,Light,72,19,93,Africa,Ethiopia," Lime zest, frankincense, dried mango, roasted cacao nib, jasmine in aroma and cup",Cafe Virtuoso,Bean Brain Reserve Suke Quto Ethiopia Sidamo
893a,Light,74,17.75,94,Africa,Ethiopia," Dried blueberry, pipe tobacco, lavender, sweet cocoa, a hint of whisky in aroma and cup",Wonderstate Coffee,Organic Ethiopia Aramo Natural
894a,Light,73,17,93,Africa,Ethiopia," Orange blossom, frankincense, pie cherry, roasted cacao nib in aroma and cup",Temple Coffee and Tea,Ethiopia Limmu Burka Gudina Estate
895a,Light,73,14.99,93,Africa,Ethiopia," Dried blueberry, sandalwood, cocoa powder, sweet-toned bourbon whisky in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Halo Bariti
896a,Light,73,13.71,95,Africa,Ethiopia," Jasmine, blood orange, frankincense and almond butter in aroma and cup",Kakalove Cafe,Ethiopia Natural Yirgacheffe Banko Gutiti Coop
897a,Light,74,16,93,Africa,Ethiopia," Tangerine, plum, fresh tobacco, hints of brandy and lily in aroma and cup",GreenAlives,Ethiopia Yirgacheffe Dry Process
898a,Light,76,15,93,Africa,Ethiopia," Dried blueberry, almond, white tea, lilac in aroma and cup",Mojo Coffee Roasters,Ethiopia Hambela Natural
899a,Light,75,30.62,94,Africa,Ethiopia," Dark chocolate, strawberry guava, sweet grapefruit, honeysuckle in aroma and small cup",Turning Point Coffee,Ethiopia Hachira Natural Espresso
900a,Light,75,18,95,Africa,Ethiopia," Sugared grapefruit, saffron, jasmine and cocoa nib in aroma and cup",Dragonfly Coffee Roasters,Ethiopia Sidama Special Lot Natural
901a,Light,75,10.88,92,Africa,Ethiopia," Fir, lemon blossom, maple syrup, gingko fruit in aroma and cup",Kakalove Cafe,Ethiopia Washed Yirgacheffe Z G1
902a,Light,74,16.5,91,Africa,Ethiopia," Baker’s chocolate, apple cider, wisteria-like flowers, a brightening hint of grapefruit in aroma and cup",Thanksgiving Coffee,Light Roast Natural Ethiopia
903a,Light,71,15,91,Africa,Ethiopia," Orange blossom, apple, turbinado sugar, walnut, a hint of tangerine in aroma and cup",Greater Goods Coffee Roasters,FTO Ethiopia Gedeb
904a,Light,77,20,95,Africa,Ethiopia," Juicy, floral-toned acidity; smooth, supple mouthfeel",Crimson Cup Coffee & Tea,Ethiopia Jimma Agaro
905a,Light,73,17.95,93,Africa,Ethiopia," Ripe, very slightly fermenty berry (blueberry, strawberry), wisteria, sandalwood, roasted cacao nib, brown sugar in aroma and cup",Chocolate Fish Coffee Roasters,Ethiopia Yirgacheffe Wote Konga
906a,Light,72,24,93,Africa,Ethiopia," Complex floral notes (lavender, lilac), honey, sweet citrus, a crisp base of fresh-cut cedar and roasted cacao nib in aroma and cup",Pachamama Coffee Cooperative,Ethiopia Yirgacheffe
907a,Light,80,17.5,91,Africa,Ethiopia," Lime, freesia-like flowers, brown sugar, roasted cacao nib, tomato vine in aroma and cup",Chocolate Fish Coffee Roasters,Guji Ethiopia
908a,Light,72,18.5,93,Africa,Ethiopia," Complex floral notes (lavender, rose), bittersweet fruit (orange marmalade), roasted cacao nib, fragrant sandalwood in aroma and cup",Temple Coffee and Tea,Don Pepe’s Excellent Adventure
909a,Light,76,15,94,Africa,Ethiopia," Tangerine, fresh-cut cedar, freesia-like flowers, honey in aroma and cup",Flight Coffee Co.,Ethiopia Yirgacheffe Dabub Matebya
910a,Light,75,18,94,Africa,Ethiopia," Star fruit and sweet strawberry, jasmine, sandalwood, roasted cacao nib in aroma and cup",Seasons Coffee Roasters,Ethiopia Aricha
911a,Light,73,14.75,93,Africa,Ethiopia," Sweet lemon drop, complex flowers (lavender, rose) almond, peach in aroma and cup",BeanFruit Coffee Co.,Ethiopia Kochere
912a,Light,83,30.34,94,Africa,Ethiopia," Mango, pineapple, roasted cacao nib, honeysuckle-like flowers in aroma and small cup",Comestible Master Company,The Secret Coffee
913a,Light,79,40.45,93,Africa,Ethiopia," Strawberry, cedar, walnut, dark chocolate, narcissus-like flowers in aroma and small cup",Comestible Master Company,Butler Café Family Series: Yirgacheffe Natural Process
914a,Light,74,25.3,93,Africa,Ethiopia," Honey, lilac, lavender, roasted cacao nib, a hint of lemon zest in aroma and cup",Bartok Coffee,Yirgacheffe Concerto Aramo
915a,Light,79,14.5,95,Africa,Ethiopia," Lavishly complex floral notes – cherry blossom, lavender, saffron, more – complicated by mulberry, tangerine and a crisp roasted cacao nib",Flight Coffee Co.,Ethiopia Yirgacheffe Gedeo
916a,Light,76,18,93,Africa,Ethiopia," Lavender, sandalwood, kiwi, roasted cacao nib in aroma and cup",Dragonfly Coffee Roasters,Ethiopian Yirgacheffe Wenago Natural
917a,Light,76,15.99,93,Africa,Ethiopia," Guava, lilac, roasted cacao nib, wild berry in aroma and cup",Topeca Coffee Roasters,Ethiopia Hambela Natural
918a,Light,75,18,94,Africa,Ethiopia," Smooth, rounded acidity; plush, buoyant mouthfeel",OQ Coffee Co.,Rum-Barrel Conditioned Ethiopia Gelena Abaya
919a,Light,73,12.99,92,Africa,Ethiopia," Caramel, roasted cacao nib, walnut, wisteria-like flowers, a hint of port wine in aroma and cup",Red Rooster Coffee Roaster,Ethiopia Worka Natural
920a,Light,72,17.75,94,Africa,Ethiopia," Nectarine, roasted cacao nib, lemon zest, freesia-like flowers in aroma and cup",Wonderstate Coffee,Organic Ethiopian Worka Special Prep
921a,Light,78,18,93,Africa,Ethiopia," Strawberry, juniper, unsweetened cocoa, rose-like flowers, a hint of fruit cider in aroma and cup",Water Avenue Coffee,Ethiopia Yirgacheffe Aricha
922a,Light,71,21.88,92,Africa,Ethiopia," Orange, honey, roasted cacao nib, lilac-like flowers, a hint of brandy in aroma and cup",CafeTaster,Ethiopia Yirgacheffe Aricha Natural
923a,Light,77,13.5,94,Africa,Ethiopia," Honeysuckle, tangerine, apricot and plum, spicy aromatic wood",Kakalove Cafe,Ethiopia Washed Yirgacheffe Alemu Station
924a,Light,71,15,93,Africa,Ethiopia," Lavender, kumquat, musk, roasted cacao nib, ripe banana in aroma and cup",Kakalove Cafe,Ethiopia Natural Yirgacheffe Worka Coop Alemu
925a,Light,75,25,95,Africa,Ethiopia," Lush rose, roasted cacoa-nib, mango chutney, blood orange, frankincense-like aromatic wood in aroma and cup",Bar Nine,"Lomi Tasha Worka, Ethiopia"
926a,Light,77,30.95,94,Africa,Ethiopia," Caramel, roasted cacao-nib, blueberry, narcissus, a hint of passion fruit in aroma and cup",Barrington Coffee Roasting Co.,Nekisse Natural Process Ethiopia
927a,Light,73,17.82,94,Africa,Ethiopia," Blueberry, pineapple, lilac, brandy, roasted cacao nib, agave in aroma and cup",PT's Coffee Roasting Co.,Konga Natural Ethiopia
